f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R1270,R600a,R1270/R600a,0.3,20,110.0,V_ONLY,OK,"V_c1, V_c2",,,1.801,0.443,1000.0,1614.6,5.8,57.6,79.6,46.1,115.6,117.1,6.91,24.07,6.21,26.27,478.9,1325.3,147.12,380.25,555.39,R1270,R600a,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600a,R1270/R600a,0.3,30,110.0,V_ONLY,OK,"V_c1, V_c2",,,1.966,0.434,1000.0,1614.6,15.1,64.5,84.7,53.2,115.6,117.5,8.94,27.68,7.4,26.27,428.3,1104.2,151.94,330.92,508.55,R1270,R600a,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600a,R1270/R600a,0.3,40,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.156,0.422,1000.0,1614.6,24.4,71.5,90.2,60.2,115.6,117.9,11.38,31.68,8.74,26.27,387.0,924.1,156.27,284.09,463.82,R1270,R600a,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600a,R1270/R600a,0.3,50,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.371,0.404,1000.0,1614.6,33.8,78.4,96.2,67.3,115.6,118.3,14.29,36.11,10.26,26.27,353.9,776.4,160.64,239.79,421.78,R1270,R600a,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600a,R1270/R600a,0.3,60,110.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.609,0.379,1000.0,1614.6,43.2,85.3,102.4,74.4,115.6,118.8,17.73,41.04,11.96,26.27,328.7,654.5,165.89,198.0,383.33,R1270,R600a,0.4485,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.4485
R1270,R600a,R1270/R600a,0.4,20,110.0,V_ONLY,OK,"V_c1, V_c2",,,1.85,0.455,1000.0,1614.6,5.5,66.5,90.7,55.2,115.6,117.6,6.86,28.78,7.77,26.27,559.3,1049.0,195.99,317.28,540.56,R1270,R600a,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600a,R1270/R600a,0.4,30,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.0,0.442,1000.0,1614.6,14.9,72.5,94.5,61.3,115.6,117.9,8.9,32.29,8.95,26.27,490.4,901.2,197.16,277.61,500.03,R1270,R600a,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600a,R1270/R600a,0.4,40,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.169,0.425,1000.0,1614.6,24.4,78.4,98.9,67.3,115.6,118.3,11.37,36.11,10.26,26.27,436.0,776.4,197.99,239.79,461.09,R1270,R600a,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600a,R1270/R600a,0.4,50,110.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.356,0.402,1000.0,1614.6,33.9,84.3,103.6,73.4,115.6,118.7,14.31,40.3,11.7,26.27,393.6,670.5,199.06,203.82,424.36,R1270,R600a,0.4485,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.4485
R1270,R600a,R1270/R600a,0.4,60,110.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R1270,R600a,R1270/R600a,0.5,20,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.854,0.456,1000.0,1614.6,5.5,75.4,101.6,64.3,115.6,118.1,6.85,34.16,9.59,26.27,647.5,836.2,253.61,258.46,539.3,R1270,R600a,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600a,R1270/R600a,0.5,30,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.986,0.439,1000.0,1614.6,15.0,80.4,104.3,69.4,115.6,118.5,8.92,37.47,10.73,26.27,559.6,739.2,250.45,227.59,503.48,R1270,R600a,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600a,R1270/R600a,0.5,40,110.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.133,0.417,1000.0,1614.6,24.5,85.3,107.5,74.4,115.6,118.8,11.41,41.04,11.96,26.27,491.7,654.5,247.22,198.0,468.93,R1270,R600a,0.4485,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.4485
