f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,Q_H_kW,m_steam [kg/s],m_steam [kg/h],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],scale_k,COP,eta_Lorenz,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status,status_4state
R717,R600a,0.7,30,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,500.6,555.6,328.6,148.06,501.75,1.0,2.222,0.493,7.24,57.79,223.4,15.17,26.02,119.0,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600a,0.7,40,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,402.9,517.9,306.32,130.89,460.22,1.0,2.422,0.477,9.78,61.33,208.9,16.1,26.02,119.2,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600a,0.7,50,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,329.2,482.9,283.48,114.16,418.58,1.0,2.663,0.457,12.95,65.04,196.4,17.07,26.02,119.4,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600a,0.7,60,110.0,,R717-HP,R600a,1114.82,0.5,1800.0,272.7,450.4,260.13,97.89,376.86,1.0,2.958,0.433,16.85,68.92,185.6,18.08,26.02,119.5,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600,0.3,20,110.0,,R717-LP,R600,1114.82,0.5,1800.0,498.6,1615.2,165.55,363.1,556.47,1.0,2.003,0.495,5.28,24.28,149.5,4.58,20.23,115.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R717,R600,0.3,30,110.0,,R717-HP,R600,1114.82,0.5,1800.0,407.7,1345.3,164.81,317.34,507.53,1.0,2.197,0.488,7.26,28.79,145.9,5.5,20.23,115.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R717,R600,0.3,40,110.0,,R717-HP,R600,1114.82,0.5,1800.0,337.9,1126.0,163.12,273.49,459.59,1.0,2.426,0.477,9.78,33.89,143.6,6.54,20.23,115.4,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R717,R600,0.3,50,110.0,,R717-HP,R600,1114.82,0.5,1800.0,283.6,946.5,160.61,231.58,412.83,1.0,2.7,0.464,12.92,39.64,142.4,7.72,20.23,115.9,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R717,R600,0.3,60,110.0,,R717-HP,R600,1114.82,0.5,1800.0,240.8,798.7,157.4,191.62,367.39,1.0,3.034,0.444,16.79,46.1,142.1,9.06,20.23,116.6,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R717,R600,0.4,20,110.0,,R717-HP,R600,1114.82,0.5,1800.0,539.7,1278.0,209.25,304.61,540.91,1.0,2.061,0.51,5.24,30.18,173.3,5.78,20.23,115.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
