f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,V_OUT,6500,132.629,24.467
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,V_OUT,7000,130.775,22.719
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,V_OUT,7500,129.169,21.205
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,5000,131.973,30.721
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,5500,129.01,27.928
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,6000,126.542,25.601
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,6500,124.453,23.632
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,7000,122.662,21.944
R1270,R600a,R1270/R600a,0.5,40.0,110.0,2.164,0.424,V_OUT,7500,121.11,20.481
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,5000,150.5,38.737
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,5500,146.764,35.216
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,6000,143.651,32.281
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,6500,141.017,29.798
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,7000,138.759,27.67
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,7500,136.803,25.825
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,5000,138.427,35.678
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,5500,134.986,32.435
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,6000,132.119,29.732
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,6500,129.693,27.445
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,7000,127.613,25.485
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,V_OUT,7500,125.811,23.786
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,5000,127.463,33.393
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,5500,124.243,30.357
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,6000,121.559,27.828
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,6500,119.289,25.687
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,7000,117.343,23.852
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,7500,115.656,22.262
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,5000,117.459,31.651
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,5500,114.407,28.774
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,6000,111.863,26.376
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,6500,109.711,24.347
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,7000,107.867,22.608
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,7500,106.268,21.101
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,5000,108.439,30.349
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,5500,105.512,27.59
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,6000,103.074,25.291
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,6500,101.01,23.346
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,7000,99.241,21.678
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,7500,97.708,20.233
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,5000,147.203,36.619
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,5500,143.672,33.29
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,6000,140.729,30.516
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,6500,138.239,28.169
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,7000,136.105,26.157
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,V_OUT,7500,134.255,24.413
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,5000,136.804,34.31
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,5500,133.495,31.19
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,6000,130.738,28.591
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,6500,128.405,26.392
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,7000,126.405,24.507
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,V_OUT,7500,124.672,22.873
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,5000,127.153,32.514
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,5500,124.018,29.559
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,6000,121.405,27.095
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,6500,119.194,25.011
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,7000,117.299,23.225
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,7500,115.657,21.676
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,5000,118.234,31.129
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,5500,115.232,28.299
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,6000,112.73,25.941
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,6500,110.613,23.946
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,7000,108.799,22.235
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,7500,107.227,20.753
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,5000,110.16,30.139
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,5500,107.254,27.399
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,6000,104.832,25.116
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,6500,102.782,23.184
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,7000,101.026,21.528
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,7500,99.503,20.092
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,5000,147.766,35.781
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,5500,144.315,32.528
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,6000,141.44,29.818
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,6500,139.007,27.524
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,7000,136.921,25.558
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,V_OUT,7500,135.114,23.854
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,5000,138.206,33.708
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,5500,134.955,30.644
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,6000,132.247,28.09
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,6500,129.955,25.929
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,7000,127.99,24.077
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,V_OUT,7500,126.287,22.472
R290,R600,R290/R600,0.5,40.0,110.0,2.259,0.443,V_OUT,5000,129.316,32.135
R290,R600,R290/R600,0.5,40.0,110.0,2.259,0.443,V_OUT,5500,126.217,29.214
R290,R600,R290/R600,0.5,40.0,110.0,2.259,0.443,V_OUT,6000,123.635,26.779
R290,R600,R290/R600,0.5,40.0,110.0,2.259,0.443,V_OUT,6500,121.45,24.719
R290,R600,R290/R600,0.5,40.0,110.0,2.259,0.443,V_OUT,7000,119.577,22.954
R290,R600,R290/R600,0.5,40.0,110.0,2.259,0.443,V_OUT,7500,117.953,21.424
R290,R600,R290/R600,0.5,50.0,110.0,2.438,0.416,V_OUT,5000,121.097,30.98
R290,R600,R290/R600,0.5,50.0,110.0,2.438,0.416,V_OUT,5500,118.109,28.163
R290,R600,R290/R600,0.5,50.0,110.0,2.438,0.416,V_OUT,6000,115.62,25.816
R290,R600,R290/R600,0.5,50.0,110.0,2.438,0.416,V_OUT,6500,113.513,23.831
R290,R600,R290/R600,0.5,50.0,110.0,2.438,0.416,V_OUT,7000,111.708,22.128
