f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,SNK_HX,178355.5,159.99
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,SRC_HX,114322.1,102.55
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,COMP1,214231.5,192.17
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,COMP2,491392.5,440.78
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,IHX,205088.3,183.96
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,SNK_HX,182170.6,163.41
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,SRC_HX,101630.1,91.16
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,COMP1,195224.8,175.12
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,COMP2,411890.9,369.47
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,IHX,216687.4,194.37
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,SNK_HX,183619.4,164.71
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,SRC_HX,106556.7,95.58
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,COMP1,179565.6,161.07
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,COMP2,349789.1,313.76
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,IHX,227785.0,204.32
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,SNK_HX,185074.3,166.01
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,SRC_HX,111321.8,99.86
