f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,120.0,104.979,22.544
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,130.0,111.734,22.544
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,140.0,118.489,22.544
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,150.0,125.245,22.544
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,160.0,132.0,22.544
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,170.0,138.756,22.544
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,180.0,145.511,22.544
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,190.0,152.267,22.544
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,200.0,159.022,22.544
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,100.0,84.239,21.32
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,110.0,90.401,21.32
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,120.0,96.563,21.32
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,130.0,102.726,21.32
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,140.0,108.888,21.32
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,150.0,115.05,21.32
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,160.0,121.212,21.32
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,170.0,127.375,21.32
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,180.0,133.537,21.32
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,190.0,139.699,21.32
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,200.0,145.862,21.32
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,OK,100.0,77.694,20.413
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,OK,110.0,83.298,20.413
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,OK,120.0,88.902,20.413
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,OK,130.0,94.507,20.413
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,OK,140.0,100.111,20.413
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,OK,150.0,105.715,20.413
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,OK,160.0,111.319,20.413
