f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R290,R600,R290/R600,0.5,20,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.142,0.488,1128.2,1800.0,5.0,70.0,87.5,60.0,105.0,105.9,5.51,25.87,6.38,16.8,944.1,1058.0,281.98,218.36,526.68,R290,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.5,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.317,0.468,1128.2,1800.0,14.4,75.0,90.9,65.0,105.0,106.3,7.19,28.49,7.2,16.8,796.6,934.5,271.92,190.57,486.83,R290,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.5,40,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.522,0.443,1128.2,1800.0,23.8,80.0,94.7,70.0,105.0,106.7,9.23,31.32,8.09,16.8,682.2,827.2,261.36,163.66,447.39,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.5,50,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.761,0.414,1128.2,1800.0,33.2,85.0,98.9,75.0,105.0,107.1,11.66,34.36,9.06,16.8,592.7,733.6,250.59,137.64,408.66,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.5,60,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,3.041,0.376,1128.2,1800.0,42.6,90.0,103.4,80.0,105.0,107.6,14.55,37.64,10.12,16.8,522.7,651.7,239.97,112.5,371.02,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.6,20,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.07,0.471,1128.2,1800.0,5.3,78.0,96.3,68.0,105.0,106.5,5.56,30.16,7.72,16.8,1047.6,868.3,343.5,174.32,545.07,R290,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.6,30,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.232,0.45,1128.2,1800.0,14.7,82.0,98.7,72.0,105.0,106.9,7.25,32.51,8.47,16.8,876.8,788.2,326.99,153.15,505.41,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.6,40,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.422,0.425,1128.2,1800.0,24.1,86.0,101.6,76.0,105.0,107.2,9.3,35.0,9.27,16.8,744.8,716.3,309.97,132.54,465.8,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.6,50,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.645,0.395,1128.2,1800.0,33.5,90.0,104.7,80.0,105.0,107.6,11.74,37.64,10.12,16.8,641.6,651.7,292.66,112.5,426.49,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.6,60,100.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
