f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.5,30.0,100.0,2.259,0.455,OK,7000,117.133,22.583
R1270,R600,R1270/R600,0.5,30.0,100.0,2.259,0.455,OK,7500,115.404,21.077
R1270,R600,R1270/R600,0.5,40.0,100.0,2.448,0.43,OK,5000,118.884,30.244
R1270,R600,R1270/R600,0.5,40.0,100.0,2.448,0.43,OK,5500,115.726,27.495
R1270,R600,R1270/R600,0.5,40.0,100.0,2.448,0.43,OK,6000,113.095,25.204
R1270,R600,R1270/R600,0.5,40.0,100.0,2.448,0.43,OK,6500,110.868,23.265
R1270,R600,R1270/R600,0.5,40.0,100.0,2.448,0.43,OK,7000,108.96,21.603
R1270,R600,R1270/R600,0.5,40.0,100.0,2.448,0.43,OK,7500,107.306,20.163
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.025,0.46,OK,5000,138.562,32.078
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.025,0.46,OK,5500,135.213,29.162
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.025,0.46,OK,6000,132.422,26.731
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.025,0.46,OK,6500,130.061,24.675
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.025,0.46,OK,7000,128.037,22.913
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.025,0.46,OK,7500,126.282,21.385
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.222,0.447,OK,5000,127.452,30.238
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.222,0.447,OK,5500,124.295,27.489
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.222,0.447,OK,6000,121.665,25.198
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.222,0.447,OK,6500,119.439,23.26
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.222,0.447,OK,7000,117.531,21.598
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.222,0.447,OK,7500,115.877,20.159
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.45,0.43,OK,5000,117.018,28.665
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.45,0.43,OK,5500,114.025,26.059
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.45,0.43,OK,6000,111.532,23.887
