f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R290,R600,R290/R600,0.3,30.0,120.0,1.904,0.46,OK,140.0,115.871,24.216
R290,R600,R290/R600,0.3,30.0,120.0,1.904,0.46,OK,150.0,122.432,24.216
R290,R600,R290/R600,0.3,30.0,120.0,1.904,0.46,OK,160.0,128.993,24.216
R290,R600,R290/R600,0.3,30.0,120.0,1.904,0.46,OK,170.0,135.554,24.216
R290,R600,R290/R600,0.3,30.0,120.0,1.904,0.46,OK,180.0,142.115,24.216
R290,R600,R290/R600,0.3,30.0,120.0,1.904,0.46,OK,190.0,148.675,24.216
R290,R600,R290/R600,0.3,30.0,120.0,1.904,0.46,OK,200.0,155.236,24.216
R290,R600,R290/R600,0.3,40.0,120.0,1.923,0.44,OK,100.0,87.576,22.785
R290,R600,R290/R600,0.3,40.0,120.0,1.923,0.44,OK,110.0,94.073,22.785
R290,R600,R290/R600,0.3,40.0,120.0,1.923,0.44,OK,120.0,100.571,22.785
R290,R600,R290/R600,0.3,40.0,120.0,1.923,0.44,OK,130.0,107.068,22.785
R290,R600,R290/R600,0.3,40.0,120.0,1.923,0.44,OK,140.0,113.566,22.785
R290,R600,R290/R600,0.3,40.0,120.0,1.923,0.44,OK,150.0,120.064,22.785
R290,R600,R290/R600,0.3,40.0,120.0,1.923,0.44,OK,160.0,126.561,22.785
R290,R600,R290/R600,0.3,40.0,120.0,1.923,0.44,OK,170.0,133.059,22.785
R290,R600,R290/R600,0.3,40.0,120.0,1.923,0.44,OK,180.0,139.557,22.785
R290,R600,R290/R600,0.3,40.0,120.0,1.923,0.44,OK,190.0,146.054,22.785
R290,R600,R290/R600,0.3,40.0,120.0,1.923,0.44,OK,200.0,152.552,22.785
R290,R600,R290/R600,0.3,50.0,120.0,1.907,0.412,OK,100.0,87.369,22.039
R290,R600,R290/R600,0.3,50.0,120.0,1.907,0.412,OK,110.0,93.921,22.039
R290,R600,R290/R600,0.3,50.0,120.0,1.907,0.412,OK,120.0,100.472,22.039
R290,R600,R290/R600,0.3,50.0,120.0,1.907,0.412,OK,130.0,107.023,22.039
R290,R600,R290/R600,0.3,50.0,120.0,1.907,0.412,OK,140.0,113.574,22.039
R290,R600,R290/R600,0.3,50.0,120.0,1.907,0.412,OK,150.0,120.125,22.039
R290,R600,R290/R600,0.3,50.0,120.0,1.907,0.412,OK,160.0,126.676,22.039
R290,R600,R290/R600,0.3,50.0,120.0,1.907,0.412,OK,170.0,133.227,22.039
R290,R600,R290/R600,0.3,50.0,120.0,1.907,0.412,OK,180.0,139.778,22.039
R290,R600,R290/R600,0.3,50.0,120.0,1.907,0.412,OK,190.0,146.329,22.039
R290,R600,R290/R600,0.3,50.0,120.0,1.907,0.412,OK,200.0,152.88,22.039
R290,R600,R290/R600,0.3,60.0,120.0,1.85,0.376,OK,100.0,86.383,19.007
R290,R600,R290/R600,0.3,60.0,120.0,1.85,0.376,OK,110.0,93.137,19.007
R290,R600,R290/R600,0.3,60.0,120.0,1.85,0.376,OK,120.0,99.89,19.007
R290,R600,R290/R600,0.3,60.0,120.0,1.85,0.376,OK,130.0,106.643,19.007
R290,R600,R290/R600,0.3,60.0,120.0,1.85,0.376,OK,140.0,113.396,19.007
R290,R600,R290/R600,0.3,60.0,120.0,1.85,0.376,OK,150.0,120.149,19.007
R290,R600,R290/R600,0.3,60.0,120.0,1.85,0.376,OK,160.0,126.902,19.007
R290,R600,R290/R600,0.3,60.0,120.0,1.85,0.376,OK,170.0,133.655,19.007
R290,R600,R290/R600,0.3,60.0,120.0,1.85,0.376,OK,180.0,140.409,19.007
R290,R600,R290/R600,0.3,60.0,120.0,1.85,0.376,OK,190.0,147.162,19.007
R290,R600,R290/R600,0.3,60.0,120.0,1.85,0.376,OK,200.0,153.915,19.007
R290,R600,R290/R600,0.4,20.0,120.0,1.786,0.477,OK,100.0,94.435,24.68
R290,R600,R290/R600,0.4,20.0,120.0,1.786,0.477,OK,110.0,101.431,24.68
R290,R600,R290/R600,0.4,20.0,120.0,1.786,0.477,OK,120.0,108.426,24.68
R290,R600,R290/R600,0.4,20.0,120.0,1.786,0.477,OK,130.0,115.422,24.68
R290,R600,R290/R600,0.4,20.0,120.0,1.786,0.477,OK,140.0,122.418,24.68
R290,R600,R290/R600,0.4,20.0,120.0,1.786,0.477,OK,150.0,129.413,24.68
R290,R600,R290/R600,0.4,20.0,120.0,1.786,0.477,OK,160.0,136.409,24.68
R290,R600,R290/R600,0.4,20.0,120.0,1.786,0.477,OK,170.0,143.405,24.68
R290,R600,R290/R600,0.4,20.0,120.0,1.786,0.477,OK,180.0,150.4,24.68
R290,R600,R290/R600,0.4,20.0,120.0,1.786,0.477,OK,190.0,157.396,24.68
R290,R600,R290/R600,0.4,20.0,120.0,1.786,0.477,OK,200.0,164.392,24.68
R290,R600,R290/R600,0.4,30.0,120.0,1.922,0.464,OK,100.0,87.9,23.09
R290,R600,R290/R600,0.4,30.0,120.0,1.922,0.464,OK,110.0,94.4,23.09
R290,R600,R290/R600,0.4,30.0,120.0,1.922,0.464,OK,120.0,100.9,23.09
R290,R600,R290/R600,0.4,30.0,120.0,1.922,0.464,OK,130.0,107.4,23.09
R290,R600,R290/R600,0.4,30.0,120.0,1.922,0.464,OK,140.0,113.9,23.09
R290,R600,R290/R600,0.4,30.0,120.0,1.922,0.464,OK,150.0,120.4,23.09
R290,R600,R290/R600,0.4,30.0,120.0,1.922,0.464,OK,160.0,126.9,23.09
R290,R600,R290/R600,0.4,30.0,120.0,1.922,0.464,OK,170.0,133.4,23.09
R290,R600,R290/R600,0.4,30.0,120.0,1.922,0.464,OK,180.0,139.9,23.09
R290,R600,R290/R600,0.4,30.0,120.0,1.922,0.464,OK,190.0,146.399,23.09
R290,R600,R290/R600,0.4,30.0,120.0,1.922,0.464,OK,200.0,152.899,23.09
R290,R600,R290/R600,0.4,40.0,120.0,1.902,0.435,OK,100.0,87.783,22.266
R290,R600,R290/R600,0.4,40.0,120.0,1.902,0.435,OK,110.0,94.353,22.266
R290,R600,R290/R600,0.4,40.0,120.0,1.902,0.435,OK,120.0,100.923,22.266
R290,R600,R290/R600,0.4,40.0,120.0,1.902,0.435,OK,130.0,107.493,22.266
R290,R600,R290/R600,0.4,40.0,120.0,1.902,0.435,OK,140.0,114.063,22.266
R290,R600,R290/R600,0.4,40.0,120.0,1.902,0.435,OK,150.0,120.633,22.266
R290,R600,R290/R600,0.4,40.0,120.0,1.902,0.435,OK,160.0,127.202,22.266
R290,R600,R290/R600,0.4,40.0,120.0,1.902,0.435,OK,170.0,133.772,22.266
R290,R600,R290/R600,0.4,40.0,120.0,1.902,0.435,OK,180.0,140.342,22.266
R290,R600,R290/R600,0.4,40.0,120.0,1.902,0.435,OK,190.0,146.912,22.266
R290,R600,R290/R600,0.4,40.0,120.0,1.902,0.435,OK,200.0,153.482,22.266
R290,R600,R290/R600,0.4,50.0,120.0,1.85,0.4,OK,100.0,86.55,19.175
R290,R600,R290/R600,0.4,50.0,120.0,1.85,0.4,OK,110.0,93.303,19.175
