f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R290,R600,R290/R600,0.3,30.0,120.0,1.919,0.461,OK,7500,114.118,23.818
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,OK,5000,116.35,33.376
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,OK,5500,113.34,30.342
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,OK,6000,110.832,27.814
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,OK,6500,108.71,25.674
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,OK,7000,106.891,23.84
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,OK,7500,105.315,22.251
R290,R600,R290/R600,0.3,50.0,120.0,2.274,0.434,OK,5000,107.714,31.6
R290,R600,R290/R600,0.3,50.0,120.0,2.274,0.434,OK,5500,104.865,28.728
R290,R600,R290/R600,0.3,50.0,120.0,2.274,0.434,OK,6000,102.491,26.334
R290,R600,R290/R600,0.3,50.0,120.0,2.274,0.434,OK,6500,100.481,24.308
R290,R600,R290/R600,0.3,50.0,120.0,2.274,0.434,OK,7000,98.759,22.572
R290,R600,R290/R600,0.3,50.0,120.0,2.274,0.434,OK,7500,97.267,21.067
R290,R600,R290/R600,0.3,60.0,120.0,2.48,0.413,OK,5000,100.08,30.312
R290,R600,R290/R600,0.3,60.0,120.0,2.48,0.413,OK,5500,97.347,27.557
R290,R600,R290/R600,0.3,60.0,120.0,2.48,0.413,OK,6000,95.069,25.26
R290,R600,R290/R600,0.3,60.0,120.0,2.48,0.413,OK,6500,93.142,23.317
R290,R600,R290/R600,0.3,60.0,120.0,2.48,0.413,OK,7000,91.49,21.652
R290,R600,R290/R600,0.3,60.0,120.0,2.48,0.413,OK,7500,90.058,20.208
R290,R600,R290/R600,0.4,20.0,120.0,1.807,0.479,OK,5000,132.099,36.285
R290,R600,R290/R600,0.4,20.0,120.0,1.807,0.479,OK,5500,128.827,32.986
R290,R600,R290/R600,0.4,20.0,120.0,1.807,0.479,OK,6000,126.101,30.238
R290,R600,R290/R600,0.4,20.0,120.0,1.807,0.479,OK,6500,123.794,27.912
R290,R600,R290/R600,0.4,20.0,120.0,1.807,0.479,OK,7000,121.816,25.918
R290,R600,R290/R600,0.4,20.0,120.0,1.807,0.479,OK,7500,120.102,24.19
R290,R600,R290/R600,0.4,30.0,120.0,1.938,0.466,OK,5000,123.357,34.029
R290,R600,R290/R600,0.4,30.0,120.0,1.938,0.466,OK,5500,120.289,30.935
R290,R600,R290/R600,0.4,30.0,120.0,1.938,0.466,OK,6000,117.732,28.357
R290,R600,R290/R600,0.4,30.0,120.0,1.938,0.466,OK,6500,115.569,26.176
R290,R600,R290/R600,0.4,30.0,120.0,1.938,0.466,OK,7000,113.714,24.306
R290,R600,R290/R600,0.4,30.0,120.0,1.938,0.466,OK,7500,112.107,22.686
R290,R600,R290/R600,0.4,40.0,120.0,2.084,0.449,OK,5000,115.349,32.289
R290,R600,R290/R600,0.4,40.0,120.0,2.084,0.449,OK,5500,112.437,29.354
R290,R600,R290/R600,0.4,40.0,120.0,2.084,0.449,OK,6000,110.011,26.907
R290,R600,R290/R600,0.4,40.0,120.0,2.084,0.449,OK,6500,107.958,24.838
R290,R600,R290/R600,0.4,40.0,120.0,2.084,0.449,OK,7000,106.198,23.064
R290,R600,R290/R600,0.4,40.0,120.0,2.084,0.449,OK,7500,104.673,21.526
R290,R600,R290/R600,0.4,50.0,120.0,2.244,0.429,OK,5000,108.094,30.981
R290,R600,R290/R600,0.4,50.0,120.0,2.244,0.429,OK,5500,105.301,28.164
R290,R600,R290/R600,0.4,50.0,120.0,2.244,0.429,OK,6000,102.973,25.817
R290,R600,R290/R600,0.4,50.0,120.0,2.244,0.429,OK,6500,101.003,23.831
R290,R600,R290/R600,0.4,50.0,120.0,2.244,0.429,OK,7000,99.315,22.129
R290,R600,R290/R600,0.4,50.0,120.0,2.244,0.429,OK,7500,97.852,20.654
R290,R600,R290/R600,0.5,20.0,120.0,1.788,0.474,OK,5000,132.208,35.391
R290,R600,R290/R600,0.5,20.0,120.0,1.788,0.474,OK,5500,129.017,32.174
R290,R600,R290/R600,0.5,20.0,120.0,1.788,0.474,OK,6000,126.358,29.493
