f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R1270,R600a,R1270/R600a,0.6,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=97.0 °C ≥ T_crit=91.1 °C,
R1270,R600a,R1270/R600a,0.6,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=101.0 °C ≥ T_crit=91.1 °C,
R1270,R600a,R1270/R600a,0.7,20,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=95.0 °C ≥ T_crit=91.1 °C,
R1270,R600a,R1270/R600a,0.7,30,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=98.0 °C ≥ T_crit=91.1 °C,
R1270,R600a,R1270/R600a,0.7,40,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=101.0 °C ≥ T_crit=91.1 °C,
R1270,R600a,R1270/R600a,0.7,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=104.0 °C ≥ T_crit=91.1 °C,
R1270,R600a,R1270/R600a,0.7,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=107.0 °C ≥ T_crit=91.1 °C,
R1270,R600,R1270/R600,0.3,20,120.0,V_ONLY,V_ONLY,"V_c1, V_c2",V_c2,,1.749,0.467,1101.06,1800.0,5.0,60.0,82.9,50.0,125.0,125.0,6.76,25.28,4.96,24.17,541.6,1671.9,172.27,425.77,629.51,R1270,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,False,False,ok,0.5
R1270,R600,R1270/R600,0.3,30,120.0,V_ONLY,OK,"V_c1, V_c2",,,1.898,0.459,1101.06,1800.0,15.0,67.0,87.8,57.0,125.0,125.1,8.92,29.06,5.93,24.17,475.7,1393.7,175.91,375.24,580.16,R1270,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,40,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.914,0.438,1101.06,1800.0,15.0,74.0,96.4,64.0,125.0,125.5,8.92,33.25,7.03,24.17,533.9,1167.1,219.56,326.93,575.25,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,50,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.895,0.41,1101.06,1800.0,15.0,81.0,105.0,71.0,125.0,126.1,8.92,37.9,8.28,24.17,600.9,981.2,271.06,280.89,581.0,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,60,120.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,1.834,0.373,1101.06,1800.0,15.0,88.0,113.6,78.0,125.0,126.7,8.92,43.08,9.68,24.17,680.8,827.9,333.35,237.14,600.51,R1270,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,20,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.781,0.476,1101.06,1800.0,5.0,70.0,95.2,60.0,125.0,125.3,6.76,30.8,6.38,24.17,637.3,1291.0,232.89,354.26,618.05,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,30,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.913,0.462,1101.06,1800.0,15.0,76.0,98.9,66.0,125.0,125.7,8.92,34.53,7.37,24.17,552.0,1110.2,233.37,313.54,575.69,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,40,120.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,1.889,0.432,1101.06,1800.0,15.0,82.0,106.2,72.0,125.0,126.2,8.92,38.61,8.47,24.17,611.5,957.5,279.21,274.5,582.85,R1270,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,50,120.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,1.834,0.396,1101.06,1800.0,15.0,88.0,113.6,78.0,125.0,126.7,8.92,43.08,9.68,24.17,680.8,827.9,333.35,237.14,600.51,R1270,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: p_cond_c1=43.9 bar ≥ 0.95·p_crit=43.3 bar,
R1270,R600,R1270/R600,0.5,20,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.757,0.469,1101.06,1800.0,5.0,80.0,107.3,70.0,125.0,126.0,6.76,37.21,8.09,24.17,750.7,1005.6,307.95,287.32,626.6,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.5,30,120.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,1.866,0.451,1101.06,1800.0,15.0,85.0,109.9,75.0,125.0,126.4,8.92,40.79,9.06,24.17,644.7,890.1,305.08,255.61,590.2,R1270,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.5,40,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R1270,R600,R1270/R600,0.5,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: p_cond_c1=44.7 bar ≥ 0.95·p_crit=43.3 bar,
