f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.212,0.385,OK,SRC_HX,72728.8,64.46
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.08,0.474,OK,COMP1,293857.7,260.47
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.08,0.474,OK,COMP2,312241.8,276.76
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.08,0.474,OK,IHX,189788.7,168.22
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.08,0.474,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.08,0.474,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.08,0.474,OK,SNK_HX,182692.9,161.93
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.08,0.474,OK,SRC_HX,108420.6,96.1
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.262,0.455,OK,COMP1,251575.1,222.99
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.262,0.455,OK,COMP2,281098.7,249.16
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.262,0.455,OK,IHX,202776.7,179.73
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.262,0.455,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.262,0.455,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.262,0.455,OK,SNK_HX,183584.0,162.72
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.262,0.455,OK,SRC_HX,115108.0,102.03
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.212,0.415,OK,COMP1,270928.9,240.14
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.212,0.415,OK,COMP2,253937.7,225.08
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.212,0.415,OK,IHX,87958.8,77.96
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.212,0.415,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.212,0.415,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.212,0.415,OK,SNK_HX,184413.8,163.46
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.212,0.415,OK,SRC_HX,87244.6,77.33
R290,R600,R290/R600,0.3,20.0,100.0,2.167,0.494,V_OUT,COMP1,280487.8,248.61
R290,R600,R290/R600,0.3,20.0,100.0,2.167,0.494,V_OUT,COMP2,508298.0,450.54
R290,R600,R290/R600,0.3,20.0,100.0,2.167,0.494,V_OUT,IHX,191685.2,169.9
R290,R600,R290/R600,0.3,20.0,100.0,2.167,0.494,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,20.0,100.0,2.167,0.494,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,20.0,100.0,2.167,0.494,V_OUT,SNK_HX,174749.5,154.89
R290,R600,R290/R600,0.3,20.0,100.0,2.167,0.494,V_OUT,SRC_HX,110191.4,97.67
R290,R600,R290/R600,0.3,30.0,100.0,2.387,0.48,OK,COMP1,244418.3,216.64
R290,R600,R290/R600,0.3,30.0,100.0,2.387,0.48,OK,COMP2,427601.9,379.01
R290,R600,R290/R600,0.3,30.0,100.0,2.387,0.48,OK,IHX,203929.6,180.76
R290,R600,R290/R600,0.3,30.0,100.0,2.387,0.48,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,30.0,100.0,2.387,0.48,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,30.0,100.0,2.387,0.48,OK,SNK_HX,175576.8,155.63
