f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600,R1270/R600,0.5,30.0,100.0,2.303,0.465,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,30.0,100.0,2.303,0.465,OK,SNK_HX,178450.3,158.17
R1270,R600,R1270/R600,0.5,30.0,100.0,2.303,0.465,OK,SRC_HX,114002.7,101.05
R1270,R600,R1270/R600,0.5,40.0,100.0,2.496,0.439,OK,COMP1,227101.3,201.29
R1270,R600,R1270/R600,0.5,40.0,100.0,2.496,0.439,OK,COMP2,282715.3,250.59
R1270,R600,R1270/R600,0.5,40.0,100.0,2.496,0.439,OK,IHX,89943.4,79.72
R1270,R600,R1270/R600,0.5,40.0,100.0,2.496,0.439,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.5,40.0,100.0,2.496,0.439,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,40.0,100.0,2.496,0.439,OK,SNK_HX,179441.0,159.05
R1270,R600,R1270/R600,0.5,40.0,100.0,2.496,0.439,OK,SRC_HX,117687.6,104.31
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.069,0.47,OK,COMP1,234074.0,207.48
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.069,0.47,OK,COMP2,451092.3,399.83
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.069,0.47,OK,IHX,190366.0,168.73
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.069,0.47,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.069,0.47,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.069,0.47,OK,SNK_HX,179765.3,159.34
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.069,0.47,OK,SRC_HX,107623.0,95.39
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.268,0.457,OK,COMP1,210178.1,186.29
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.268,0.457,OK,COMP2,381359.7,338.02
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.268,0.457,OK,IHX,202407.2,179.41
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.268,0.457,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.268,0.457,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.268,0.457,OK,SNK_HX,181015.3,160.45
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.268,0.457,OK,SRC_HX,111878.5,99.17
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.501,0.44,OK,COMP1,190783.3,169.1
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.501,0.44,OK,COMP2,326005.4,288.96
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.501,0.44,OK,IHX,213894.0,189.59
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.501,0.44,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.501,0.44,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.501,0.44,OK,SNK_HX,182324.1,161.61
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.501,0.44,OK,SRC_HX,116056.8,102.87
