f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600a,R1270/R600a,0.3,60.0,120.0,2.252,0.373,V_OUT,7000,110.443,22.405
R1270,R600a,R1270/R600a,0.3,60.0,120.0,2.252,0.373,V_OUT,7500,108.961,20.912
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,V_OUT,5000,155.745,35.742
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,V_OUT,5500,152.522,32.493
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,V_OUT,6000,149.837,29.785
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,V_OUT,6500,147.564,27.494
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,V_OUT,7000,145.616,25.53
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,V_OUT,7500,143.928,23.828
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.777,0.425,V_OUT,5000,145.395,33.899
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.777,0.425,V_OUT,5500,142.338,30.817
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.777,0.425,V_OUT,6000,139.791,28.249
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.777,0.425,V_OUT,6500,137.636,26.076
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.777,0.425,V_OUT,7000,135.789,24.213
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.777,0.425,V_OUT,7500,134.188,22.599
R1270,R600a,R1270/R600a,0.4,40.0,120.0,1.916,0.411,V_OUT,5000,135.915,32.516
R1270,R600a,R1270/R600a,0.4,40.0,120.0,1.916,0.411,V_OUT,5500,132.983,29.56
R1270,R600a,R1270/R600a,0.4,40.0,120.0,1.916,0.411,V_OUT,6000,130.539,27.097
R1270,R600a,R1270/R600a,0.4,40.0,120.0,1.916,0.411,V_OUT,6500,128.472,25.012
R1270,R600a,R1270/R600a,0.4,40.0,120.0,1.916,0.411,V_OUT,7000,126.7,23.226
R1270,R600a,R1270/R600a,0.4,40.0,120.0,1.916,0.411,V_OUT,7500,125.164,21.677
R1270,R600a,R1270/R600a,0.4,50.0,120.0,2.066,0.393,V_OUT,5000,127.494,31.609
R1270,R600a,R1270/R600a,0.4,50.0,120.0,2.066,0.393,V_OUT,5500,124.644,28.735
R1270,R600a,R1270/R600a,0.4,50.0,120.0,2.066,0.393,V_OUT,6000,122.269,26.341
R1270,R600a,R1270/R600a,0.4,50.0,120.0,2.066,0.393,V_OUT,6500,120.259,24.314
R1270,R600a,R1270/R600a,0.4,50.0,120.0,2.066,0.393,V_OUT,7000,118.536,22.578
R1270,R600a,R1270/R600a,0.4,50.0,120.0,2.066,0.393,V_OUT,7500,117.043,21.073
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.677,0.443,V_OUT,5000,152.642,34.441
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.677,0.443,V_OUT,5500,149.536,31.31
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.677,0.443,V_OUT,6000,146.948,28.7
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.677,0.443,V_OUT,6500,144.759,26.493
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.677,0.443,V_OUT,7000,142.882,24.6
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.677,0.443,V_OUT,7500,141.255,22.96
R1270,R600a,R1270/R600a,0.5,30.0,120.0,1.781,0.426,V_OUT,5000,144.27,33.028
R1270,R600a,R1270/R600a,0.5,30.0,120.0,1.781,0.426,V_OUT,5500,141.292,30.025
R1270,R600a,R1270/R600a,0.5,30.0,120.0,1.781,0.426,V_OUT,6000,138.811,27.523
R1270,R600a,R1270/R600a,0.5,30.0,120.0,1.781,0.426,V_OUT,6500,136.711,25.406
R1270,R600a,R1270/R600a,0.5,30.0,120.0,1.781,0.426,V_OUT,7000,134.911,23.591
R1270,R600a,R1270/R600a,0.5,30.0,120.0,1.781,0.426,V_OUT,7500,133.351,22.018
R290,R600,R290/R600,0.3,20.0,120.0,1.771,0.469,V_OUT,5000,151.428,39.619
R290,R600,R290/R600,0.3,20.0,120.0,1.771,0.469,V_OUT,5500,147.855,36.017
R290,R600,R290/R600,0.3,20.0,120.0,1.771,0.469,V_OUT,6000,144.878,33.016
R290,R600,R290/R600,0.3,20.0,120.0,1.771,0.469,V_OUT,6500,142.359,30.476
R290,R600,R290/R600,0.3,20.0,120.0,1.771,0.469,V_OUT,7000,140.2,28.299
R290,R600,R290/R600,0.3,20.0,120.0,1.771,0.469,V_OUT,7500,138.329,26.413
R290,R600,R290/R600,0.3,30.0,120.0,1.919,0.461,V_OUT,5000,139.573,36.348
R290,R600,R290/R600,0.3,30.0,120.0,1.919,0.461,V_OUT,5500,136.295,33.044
R290,R600,R290/R600,0.3,30.0,120.0,1.919,0.461,V_OUT,6000,133.564,30.29
R290,R600,R290/R600,0.3,30.0,120.0,1.919,0.461,V_OUT,6500,131.253,27.96
R290,R600,R290/R600,0.3,30.0,120.0,1.919,0.461,V_OUT,7000,129.272,25.963
R290,R600,R290/R600,0.3,30.0,120.0,1.919,0.461,V_OUT,7500,127.556,24.232
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,V_OUT,5000,128.908,33.957
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,V_OUT,5500,125.846,30.87
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,V_OUT,6000,123.295,28.297
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,V_OUT,6500,121.136,26.121
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,V_OUT,7000,119.285,24.255
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,V_OUT,7500,117.682,22.638
R290,R600,R290/R600,0.3,50.0,120.0,2.274,0.434,V_OUT,5000,119.253,32.15
R290,R600,R290/R600,0.3,50.0,120.0,2.274,0.434,V_OUT,5500,116.354,29.227
