f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.026,0.385,7000,103.742,36.372
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.026,0.385,7500,102.539,33.947
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.429,5000,134.192,55.473
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.429,5500,131.692,50.43
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.429,6000,129.607,46.228
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.429,6500,127.844,42.672
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.429,7000,126.332,39.624
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.429,7500,125.022,36.982
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.752,0.419,5000,125.547,53.336
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.752,0.419,5500,123.143,48.487
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.752,0.419,6000,121.139,44.446
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.752,0.419,6500,119.443,41.027
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.752,0.419,7000,117.99,38.097
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.752,0.419,7500,116.73,35.557
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.655,0.437,5000,131.686,53.972
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.655,0.437,5500,129.253,49.066
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.655,0.437,6000,127.225,44.977
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.655,0.437,6500,125.509,41.517
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.655,0.437,7000,124.039,38.552
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.655,0.437,7500,122.764,35.982
R290,R600,R290/R600,0.3,30.0,120.0,1.882,0.452,5000,123.939,63.838
R290,R600,R290/R600,0.3,30.0,120.0,1.882,0.452,5500,121.061,58.034
R290,R600,R290/R600,0.3,30.0,120.0,1.882,0.452,6000,118.663,53.198
R290,R600,R290/R600,0.3,30.0,120.0,1.882,0.452,6500,116.633,49.106
R290,R600,R290/R600,0.3,30.0,120.0,1.882,0.452,7000,114.894,45.598
R290,R600,R290/R600,0.3,30.0,120.0,1.882,0.452,7500,113.386,42.558
R290,R600,R290/R600,0.3,40.0,120.0,2.046,0.441,5000,115.014,60.825
R290,R600,R290/R600,0.3,40.0,120.0,2.046,0.441,5500,112.271,55.296
R290,R600,R290/R600,0.3,40.0,120.0,2.046,0.441,6000,109.986,50.688
R290,R600,R290/R600,0.3,40.0,120.0,2.046,0.441,6500,108.053,46.789
R290,R600,R290/R600,0.3,40.0,120.0,2.046,0.441,7000,106.395,43.447
R290,R600,R290/R600,0.3,40.0,120.0,2.046,0.441,7500,104.959,40.55
R290,R600,R290/R600,0.3,50.0,120.0,2.231,0.426,5000,106.683,58.205
R290,R600,R290/R600,0.3,50.0,120.0,2.231,0.426,5500,104.059,52.914
R290,R600,R290/R600,0.3,50.0,120.0,2.231,0.426,6000,101.872,48.505
R290,R600,R290/R600,0.3,50.0,120.0,2.231,0.426,6500,100.022,44.773
R290,R600,R290/R600,0.3,50.0,120.0,2.231,0.426,7000,98.436,41.575
R290,R600,R290/R600,0.3,50.0,120.0,2.231,0.426,7500,97.062,38.804
R290,R600,R290/R600,0.3,60.0,120.0,2.435,0.405,5000,99.06,55.935
R290,R600,R290/R600,0.3,60.0,120.0,2.435,0.405,5500,96.538,50.85
R290,R600,R290/R600,0.3,60.0,120.0,2.435,0.405,6000,94.437,46.613
R290,R600,R290/R600,0.3,60.0,120.0,2.435,0.405,6500,92.658,43.027
R290,R600,R290/R600,0.3,60.0,120.0,2.435,0.405,7000,91.134,39.954
R290,R600,R290/R600,0.3,60.0,120.0,2.435,0.405,7500,89.813,37.29
R290,R600,R290/R600,0.4,20.0,120.0,1.774,0.47,5000,129.871,64.522
R290,R600,R290/R600,0.4,20.0,120.0,1.774,0.47,5500,126.962,58.657
R290,R600,R290/R600,0.4,20.0,120.0,1.774,0.47,6000,124.537,53.769
R290,R600,R290/R600,0.4,20.0,120.0,1.774,0.47,6500,122.486,49.633
R290,R600,R290/R600,0.4,20.0,120.0,1.774,0.47,7000,120.728,46.087
R290,R600,R290/R600,0.4,20.0,120.0,1.774,0.47,7500,119.204,43.015
R290,R600,R290/R600,0.4,30.0,120.0,1.904,0.457,5000,121.741,61.586
R290,R600,R290/R600,0.4,30.0,120.0,1.904,0.457,5500,118.964,55.987
R290,R600,R290/R600,0.4,30.0,120.0,1.904,0.457,6000,116.65,51.322
R290,R600,R290/R600,0.4,30.0,120.0,1.904,0.457,6500,114.692,47.374
R290,R600,R290/R600,0.4,30.0,120.0,1.904,0.457,7000,113.014,43.99
R290,R600,R290/R600,0.4,30.0,120.0,1.904,0.457,7500,111.56,41.057
R290,R600,R290/R600,0.4,40.0,120.0,2.048,0.441,5000,114.05,59.045
R290,R600,R290/R600,0.4,40.0,120.0,2.048,0.441,5500,111.388,53.677
R290,R600,R290/R600,0.4,40.0,120.0,2.048,0.441,6000,109.17,49.204
R290,R600,R290/R600,0.4,40.0,120.0,2.048,0.441,6500,107.293,45.419
R290,R600,R290/R600,0.4,40.0,120.0,2.048,0.441,7000,105.684,42.175
R290,R600,R290/R600,0.4,40.0,120.0,2.048,0.441,7500,104.29,39.363
R290,R600,R290/R600,0.4,50.0,120.0,2.207,0.421,5000,106.868,56.839
R290,R600,R290/R600,0.4,50.0,120.0,2.207,0.421,5500,104.305,51.672
R290,R600,R290/R600,0.4,50.0,120.0,2.207,0.421,6000,102.17,47.366
R290,R600,R290/R600,0.4,50.0,120.0,2.207,0.421,6500,100.363,43.723
R290,R600,R290/R600,0.4,50.0,120.0,2.207,0.421,7000,98.814,40.599
R290,R600,R290/R600,0.4,50.0,120.0,2.207,0.421,7500,97.472,37.893
R290,R600,R290/R600,0.5,20.0,120.0,1.759,0.466,5000,129.687,62.49
R290,R600,R290/R600,0.5,20.0,120.0,1.759,0.466,5500,126.869,56.809
R290,R600,R290/R600,0.5,20.0,120.0,1.759,0.466,6000,124.521,52.075
R290,R600,R290/R600,0.5,20.0,120.0,1.759,0.466,6500,122.535,48.069
R290,R600,R290/R600,0.5,20.0,120.0,1.759,0.466,7000,120.832,44.636
R290,R600,R290/R600,0.5,20.0,120.0,1.759,0.466,7500,119.356,41.66
R290,R600,R290/R600,0.5,30.0,120.0,1.871,0.449,5000,122.533,59.909
R290,R600,R290/R600,0.5,30.0,120.0,1.871,0.449,5500,119.832,54.463
R290,R600,R290/R600,0.5,30.0,120.0,1.871,0.449,6000,117.581,49.924
R290,R600,R290/R600,0.5,30.0,120.0,1.871,0.449,6500,115.677,46.084
R290,R600,R290/R600,0.5,30.0,120.0,1.871,0.449,7000,114.044,42.792
R290,R600,R290/R600,0.5,30.0,120.0,1.871,0.449,7500,112.629,39.939
R290,R600,R290/R600,0.5,40.0,120.0,1.992,0.429,5000,115.778,57.703
R290,R600,R290/R600,0.5,40.0,120.0,1.992,0.429,5500,113.177,52.457
R290,R600,R290/R600,0.5,40.0,120.0,1.992,0.429,6000,111.009,48.085
R290,R600,R290/R600,0.5,40.0,120.0,1.992,0.429,6500,109.174,44.387
R290,R600,R290/R600,0.5,40.0,120.0,1.992,0.429,7000,107.602,41.216
