f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R717,R600a,R717/R600a,0.4,20.0,120.0,1.683,0.445,6000,125.648,45.357
R717,R600a,R717/R600a,0.4,20.0,120.0,1.683,0.445,6500,123.917,41.868
R717,R600a,R717/R600a,0.4,20.0,120.0,1.683,0.445,7000,122.434,38.878
R717,R600a,R717/R600a,0.4,20.0,120.0,1.683,0.445,7500,121.149,36.286
R717,R600a,R717/R600a,0.4,30.0,120.0,1.835,0.44,5000,120.314,51.796
R717,R600a,R717/R600a,0.4,30.0,120.0,1.835,0.44,5500,117.979,47.087
R717,R600a,R717/R600a,0.4,30.0,120.0,1.835,0.44,6000,116.033,43.163
R717,R600a,R717/R600a,0.4,30.0,120.0,1.835,0.44,6500,114.387,39.843
R717,R600a,R717/R600a,0.4,30.0,120.0,1.835,0.44,7000,112.975,36.997
R717,R600a,R717/R600a,0.4,30.0,120.0,1.835,0.44,7500,111.752,34.53
R717,R600a,R717/R600a,0.4,40.0,120.0,2.013,0.433,5000,110.834,49.527
R717,R600a,R717/R600a,0.4,40.0,120.0,2.013,0.433,5500,108.601,45.024
R717,R600a,R717/R600a,0.4,40.0,120.0,2.013,0.433,6000,106.741,41.272
R717,R600a,R717/R600a,0.4,40.0,120.0,2.013,0.433,6500,105.166,38.098
R717,R600a,R717/R600a,0.4,40.0,120.0,2.013,0.433,7000,103.817,35.376
R717,R600a,R717/R600a,0.4,40.0,120.0,2.013,0.433,7500,102.647,33.018
R717,R600a,R717/R600a,0.4,50.0,120.0,2.223,0.424,5000,101.709,47.572
R717,R600a,R717/R600a,0.4,50.0,120.0,2.223,0.424,5500,99.564,43.248
R717,R600a,R717/R600a,0.4,50.0,120.0,2.223,0.424,6000,97.777,39.644
R717,R600a,R717/R600a,0.4,50.0,120.0,2.223,0.424,6500,96.264,36.594
R717,R600a,R717/R600a,0.4,50.0,120.0,2.223,0.424,7000,94.968,33.98
R717,R600a,R717/R600a,0.4,50.0,120.0,2.223,0.424,7500,93.844,31.715
R717,R600a,R717/R600a,0.4,60.0,120.0,2.474,0.412,5000,92.94,45.894
R717,R600a,R717/R600a,0.4,60.0,120.0,2.474,0.412,5500,90.871,41.722
R717,R600a,R717/R600a,0.4,60.0,120.0,2.474,0.412,6000,89.146,38.245
R717,R600a,R717/R600a,0.4,60.0,120.0,2.474,0.412,6500,87.687,35.303
R717,R600a,R717/R600a,0.4,60.0,120.0,2.474,0.412,7000,86.437,32.781
R717,R600a,R717/R600a,0.4,60.0,120.0,2.474,0.412,7500,85.353,30.596
R717,R600a,R717/R600a,0.5,30.0,120.0,1.919,0.461,5000,115.402,50.195
R717,R600a,R717/R600a,0.5,30.0,120.0,1.919,0.461,5500,113.139,45.632
R717,R600a,R717/R600a,0.5,30.0,120.0,1.919,0.461,6000,111.253,41.829
R717,R600a,R717/R600a,0.5,30.0,120.0,1.919,0.461,6500,109.657,38.612
R717,R600a,R717/R600a,0.5,30.0,120.0,1.919,0.461,7000,108.289,35.854
R717,R600a,R717/R600a,0.5,30.0,120.0,1.919,0.461,7500,107.104,33.463
R717,R600a,R717/R600a,0.5,40.0,120.0,2.09,0.451,5000,106.996,48.208
R717,R600a,R717/R600a,0.5,40.0,120.0,2.09,0.451,5500,104.823,43.826
R717,R600a,R717/R600a,0.5,40.0,120.0,2.09,0.451,6000,103.012,40.174
R717,R600a,R717/R600a,0.5,40.0,120.0,2.09,0.451,6500,101.479,37.083
R717,R600a,R717/R600a,0.5,40.0,120.0,2.09,0.451,7000,100.166,34.435
R717,R600a,R717/R600a,0.5,40.0,120.0,2.09,0.451,7500,99.027,32.139
R717,R600a,R717/R600a,0.5,50.0,120.0,2.292,0.438,5000,98.832,46.514
R717,R600a,R717/R600a,0.5,50.0,120.0,2.292,0.438,5500,96.735,42.285
R717,R600a,R717/R600a,0.5,50.0,120.0,2.292,0.438,6000,94.987,38.761
R717,R600a,R717/R600a,0.5,50.0,120.0,2.292,0.438,6500,93.509,35.78
R717,R600a,R717/R600a,0.5,50.0,120.0,2.292,0.438,7000,92.241,33.224
R717,R600a,R717/R600a,0.5,50.0,120.0,2.292,0.438,7500,91.143,31.009
R717,R600a,R717/R600a,0.5,60.0,120.0,2.533,0.422,5000,90.9,45.069
R717,R600a,R717/R600a,0.5,60.0,120.0,2.533,0.422,5500,88.868,40.972
R717,R600a,R717/R600a,0.5,60.0,120.0,2.533,0.422,6000,87.175,37.557
R717,R600a,R717/R600a,0.5,60.0,120.0,2.533,0.422,6500,85.742,34.668
R717,R600a,R717/R600a,0.5,60.0,120.0,2.533,0.422,7000,84.514,32.192
R717,R600a,R717/R600a,0.5,60.0,120.0,2.533,0.422,7500,83.45,30.046
