f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],binding,scale_k,m_steam [kg/s],m_steam [kg/h],Q_H [kW],W_el [kW],COP,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status
R1270,R600,0.3,30,110,,R1270,R600,104.4,280.0,C2,0.1014,0.1014,365.1,226.1,108.59,2.083,8.74,27.68,85.0,5.35,20.48,115.7,True,True,True,True,True,True,True,,ok
R1270,R600,0.3,30,120,,R1270,R600,93.6,280.0,C2,0.098,0.098,352.9,215.9,115.9,1.863,8.74,29.34,88.7,5.78,24.42,125.6,True,True,True,True,True,True,True,,ok
R1270,R600,0.3,40,100,,R1270,R600,115.9,280.0,C2,0.123,0.123,442.8,277.6,108.19,2.565,11.37,29.91,86.5,5.93,17.05,106.4,True,True,True,True,True,True,True,,ok
R1270,R600,0.4,20,100,,R1270,R600,148.8,280.0,C2,0.1051,0.1051,378.5,237.2,112.04,2.117,6.59,26.61,86.4,5.07,17.05,106.0,True,True,True,True,True,True,True,,ok
R1270,R600,0.4,20,110,,R1270,R600,145.4,280.0,C2,0.1069,0.1069,384.9,238.4,123.58,1.929,6.59,28.78,91.3,5.63,20.48,115.7,True,True,True,True,True,True,True,,ok
R1270,R600,0.4,30,100,,R1270,R600,146.8,280.0,C2,0.123,0.123,442.8,277.6,119.99,2.313,8.74,29.91,89.9,5.93,17.05,106.4,True,True,True,True,True,True,True,,ok
R717,R600a,0.3,20,100,,R717-LP,R600a,108.2,280.0,C2,0.1004,0.1004,361.3,226.4,110.03,2.058,4.98,22.82,147.0,5.74,22.03,106.7,True,True,True,True,True,True,True,,ok
R717,R600a,0.3,20,110,,R717-LP,R600a,90.9,280.0,C2,0.0948,0.0948,341.1,211.3,116.18,1.818,4.98,24.58,154.8,6.21,26.27,117.1,True,True,True,True,True,True,True,,ok
R717,R600a,0.3,30,100,,R717-LP,R600a,103.2,280.0,C2,0.1205,0.1205,433.9,272.0,118.6,2.293,7.11,27.09,141.0,6.87,22.03,107.1,True,True,True,True,True,True,True,,ok
R717,R600a,0.3,40,100,,R717-HP,R600a,99.9,280.0,C2,0.144,0.144,518.6,325.0,125.99,2.58,9.85,31.93,136.9,8.15,22.03,107.5,True,True,True,True,True,True,True,,ok
R717,R600a,0.3,50,100,,R717-HP,R600a,97.9,280.0,C2,0.1714,0.1714,617.2,386.8,131.72,2.937,13.32,37.39,134.4,9.59,22.03,108.0,True,True,True,True,True,True,True,,ok
R717,R600a,0.4,20,100,,R717-LP,R600a,142.5,280.0,C2,0.1237,0.1237,445.2,279.1,131.32,2.125,4.98,27.74,167.7,7.04,22.03,107.2,True,True,True,True,True,True,True,,ok
R717,R600a,0.4,20,110,,R717-HP,R600a,126.2,280.0,C2,0.1197,0.1197,431.0,266.9,140.17,1.904,4.98,30.48,177.9,7.77,26.27,117.6,True,True,True,True,True,True,True,,ok
R717,R600a,0.4,30,100,,R717-HP,R600a,130.3,280.0,C2,0.144,0.144,518.6,325.0,138.0,2.355,7.11,31.93,158.3,8.15,22.03,107.5,True,True,True,True,True,True,True,,ok
R717,R600a,0.4,30,110,,R717-HP,R600a,116.6,280.0,C2,0.1394,0.1394,501.7,310.7,148.35,2.094,7.11,34.97,168.1,8.95,26.27,117.9,True,True,True,True,True,True,True,,ok
R717,R600a,0.4,40,100,,R717-HP,R600a,121.3,280.0,C2,0.1673,0.1673,602.2,377.4,143.2,2.636,9.85,36.57,151.1,9.37,22.03,108.0,True,True,True,True,True,True,True,,ok
R717,R600a,0.4,40,110,,R717-HP,R600a,109.6,280.0,C2,0.1618,0.1618,582.3,360.7,155.29,2.322,9.85,39.94,160.5,10.26,26.27,118.3,True,True,True,True,True,True,True,,ok
R717,R600a,0.4,50,100,,R717-HP,R600a,114.7,280.0,C2,0.1937,0.1937,697.3,437.1,146.48,2.984,13.32,41.71,145.8,10.73,22.03,108.4,True,True,True,True,True,True,True,,ok
R717,R600a,0.4,50,110,,R717-HP,R600a,104.5,280.0,C2,0.1873,0.1873,674.3,417.6,160.63,2.6,13.32,45.42,154.8,11.7,26.27,118.7,True,True,True,True,True,True,True,,ok
R717,R600a,0.5,30,100,,R717-HP,R600a,163.1,280.0,C2,0.1714,0.1714,617.2,386.8,161.39,2.397,7.11,37.39,175.4,9.59,22.03,108.0,True,True,True,True,True,True,True,,ok
R717,R600a,0.5,40,100,,R717-HP,R600a,146.6,280.0,C2,0.1937,0.1937,697.3,437.1,163.6,2.671,9.85,41.71,165.2,10.73,22.03,108.4,True,True,True,True,True,True,True,,ok
R717,R600a,0.5,40,110,,R717-HP,R600a,137.8,280.0,C2,0.1919,0.1919,690.8,427.8,180.04,2.376,9.85,46.39,176.8,11.96,26.27,118.8,True,True,True,True,True,True,True,,ok
R717,R600a,0.5,50,100,,R717-HP,R600a,133.9,280.0,C2,0.2185,0.2185,786.6,493.0,163.68,3.012,13.32,46.39,157.1,11.96,22.03,108.8,True,True,True,True,True,True,True,,ok
R717,R600a,0.5,50,110,,R717-HP,R600a,126.7,280.0,C2,0.2164,0.2164,779.1,482.5,182.33,2.646,13.32,51.46,168.3,13.29,26.27,119.1,True,True,True,True,True,True,True,,ok
R717,R600a,0.6,40,100,,R717-HP,R600a,176.2,280.0,C2,0.2238,0.2238,805.6,504.9,187.98,2.686,9.85,47.37,179.2,12.21,22.03,108.8,True,True,True,True,True,True,True,,ok
R717,R600a,0.6,50,100,,R717-HP,R600a,155.9,280.0,C2,0.2461,0.2461,886.0,555.3,183.83,3.021,13.32,51.46,168.3,13.29,22.03,109.1,True,True,True,True,True,True,True,,ok
