f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],binding,scale_k,m_steam [kg/s],m_steam [kg/h],Q_H [kW],W_el [kW],COP,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status
R290,R600a,0.7,30,110,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600a,0.7,30,120,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=98.0 °C ≥ T_crit=96.7 °C
R290,R600a,0.7,40,100,,R290,R600a,280.0,187.7,C1,0.173,0.173,622.8,390.3,174.73,2.234,9.35,39.27,108.9,13.85,22.03,109.3,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.7,40,110,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: p_cond_c1=40.5 bar ≥ 0.95·p_crit=40.4 bar
R290,R600a,0.7,40,120,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=101.0 °C ≥ T_crit=96.7 °C
R290,R600a,0.7,50,100,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600a,0.7,50,110,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=97.0 °C ≥ T_crit=96.7 °C
R290,R600a,0.7,50,120,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=104.0 °C ≥ T_crit=96.7 °C
R290,R600,0.3,20,100,,R290,R600,131.4,280.0,C2,0.0847,0.0847,304.8,191.1,90.71,2.106,5.34,18.97,70.7,4.08,17.05,105.8,True,True,True,True,True,True,True,,ok
R290,R600,0.3,20,110,,R290,R600,122.2,280.0,C2,0.084,0.084,302.6,187.4,98.23,1.908,5.34,20.19,74.0,4.43,20.48,115.7,True,True,True,True,True,True,True,,ok
R290,R600,0.3,20,120,,R290,R600,107.9,280.0,C2,0.0814,0.0814,292.9,179.1,104.38,1.716,5.34,21.46,77.3,4.81,24.42,125.6,True,True,True,True,True,True,True,,ok
R290,R600,0.3,30,100,,R290,R600,133.9,280.0,C2,0.1024,0.1024,368.6,231.0,99.52,2.321,7.14,21.9,75.8,4.94,17.05,105.9,True,True,True,True,True,True,True,,ok
R290,R600,0.3,30,110,,R290,R600,125.7,280.0,C2,0.1014,0.1014,365.1,226.1,108.38,2.087,7.14,23.25,79.2,5.35,20.48,115.7,True,True,True,True,True,True,True,,ok
R290,R600,0.3,30,120,,R290,R600,112.8,280.0,C2,0.098,0.098,352.9,215.9,115.69,1.866,7.14,24.67,82.6,5.78,24.42,125.6,True,True,True,True,True,True,True,,ok
R290,R600,0.3,40,100,,R290,R600,138.0,280.0,C2,0.123,0.123,442.8,277.6,107.71,2.577,9.35,25.16,81.5,5.93,17.05,106.4,True,True,True,True,True,True,True,,ok
R290,R600,0.3,40,110,,R290,R600,130.8,280.0,C2,0.1217,0.1217,438.1,271.3,118.21,2.295,9.35,26.66,84.9,6.39,20.48,116.0,True,True,True,True,True,True,True,,ok
R290,R600,0.3,40,120,,R290,R600,119.0,280.0,C2,0.1175,0.1175,423.1,258.8,126.97,2.038,9.35,28.24,88.4,6.88,24.42,126.1,True,True,True,True,True,True,True,,ok
R290,R600,0.3,50,100,,R290,R600,143.8,280.0,C2,0.147,0.147,529.1,331.6,115.06,2.882,12.0,28.78,87.7,7.05,17.05,106.9,True,True,True,True,True,True,True,,ok
R290,R600,0.3,50,110,,R290,R600,137.5,280.0,C2,0.1452,0.1452,522.9,323.8,127.58,2.538,12.0,30.44,91.2,7.57,20.48,116.5,True,True,True,True,True,True,True,,ok
R290,R600,0.3,50,120,,R290,R600,126.9,280.0,C2,0.1402,0.1402,504.8,308.8,138.18,2.235,12.0,32.18,94.6,8.13,24.42,126.6,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.4,20,100,,R290,R600,181.4,280.0,C2,0.1051,0.1051,378.5,237.2,111.97,2.119,5.34,22.34,79.5,5.07,17.05,106.0,True,True,True,True,True,True,True,,ok
R290,R600,0.4,20,110,,R290,R600,177.6,280.0,C2,0.1069,0.1069,384.9,238.4,123.49,1.93,5.34,24.19,84.0,5.63,20.48,115.7,True,True,True,True,True,True,True,,ok
R290,R600,0.4,20,120,,R290,R600,166.8,280.0,C2,0.106,0.106,381.7,233.5,133.22,1.753,5.34,26.15,88.4,6.23,24.42,125.8,True,True,True,True,True,True,True,,ok
R290,R600,0.4,30,100,,R290,R600,177.0,280.0,C2,0.123,0.123,442.8,277.6,119.63,2.32,7.14,25.16,83.7,5.93,17.05,106.4,True,True,True,True,True,True,True,,ok
R290,R600,0.4,30,110,,R290,R600,174.6,280.0,C2,0.1248,0.1248,449.4,278.3,132.89,2.094,7.14,27.18,88.2,6.55,20.48,116.0,True,True,True,True,True,True,True,,ok
R290,R600,0.4,30,120,,R290,R600,166.0,280.0,C2,0.1237,0.1237,445.2,272.3,144.29,1.887,7.14,29.32,92.6,7.22,24.42,126.2,True,True,True,True,True,True,True,,ok
R290,R600,0.4,40,100,,R290,R600,175.1,280.0,C2,0.1433,0.1433,516.0,323.4,126.43,2.558,9.35,28.24,88.4,6.88,17.05,106.8,True,True,True,True,True,True,True,,ok
R290,R600,0.4,40,110,,R290,R600,174.2,280.0,C2,0.1452,0.1452,522.9,323.8,141.78,2.284,9.35,30.44,92.9,7.57,20.48,116.5,True,True,True,True,True,True,True,,ok
R290,R600,0.4,40,120,,R290,R600,167.6,280.0,C2,0.1437,0.1437,517.5,316.5,155.24,2.039,9.35,32.78,97.4,8.32,24.42,126.7,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.4,50,100,,R290,R600,175.6,280.0,C2,0.1664,0.1664,599.1,375.5,132.12,2.842,12.0,31.59,93.5,7.94,17.05,107.3,False,True,True,True,True,True,False,p_c1,ok
