f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R290,R600,R290/R600,0.4,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600,R290/R600,0.5,20,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.788,0.474,1101.06,1800.0,6.8,80.0,98.2,70.0,125.0,126.0,5.81,31.32,8.09,24.17,875.4,1005.6,297.63,287.32,615.74,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.5,30,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.9,0.456,1101.06,1800.0,16.2,85.0,101.9,75.0,125.0,126.4,7.56,34.36,9.06,24.17,754.9,890.1,294.88,255.61,579.46,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.5,40,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.022,0.435,1101.06,1800.0,25.7,90.0,105.9,80.0,125.0,126.8,9.69,37.64,10.12,24.17,661.8,789.2,292.14,225.06,544.42,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.5,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600,R290/R600,0.5,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar,
R290,R600,R290/R600,0.6,20,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.702,0.45,1101.06,1800.0,7.3,90.0,109.4,80.0,125.0,126.8,5.89,37.64,10.12,24.17,1034.7,789.2,389.45,225.06,646.85,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.6,30,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600,R290/R600,0.6,40,120.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.034,0.438,1101.06,1800.0,25.0,93.0,109.5,88.0,125.0,127.5,9.52,39.74,11.99,24.17,736.8,653.1,335.66,178.58,541.3,R290,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.6,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=97.0 °C ≥ T_crit=96.7 °C,
R290,R600,R290/R600,0.6,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=101.0 °C ≥ T_crit=96.7 °C,
R290,R600,R290/R600,0.7,20,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar,
R290,R600,R290/R600,0.7,30,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=98.0 °C ≥ T_crit=96.7 °C,
R290,R600,R290/R600,0.7,40,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=101.0 °C ≥ T_crit=96.7 °C,
R290,R600,R290/R600,0.7,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=104.0 °C ≥ T_crit=96.7 °C,
R290,R600,R290/R600,0.7,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: T_cond_c1=107.0 °C ≥ T_crit=96.7 °C,
R290,R600a,R290/R600a,0.3,20,120.0,HARD,V_ONLY,"p_c2, V_c1, V_c2",V_c2,,1.577,0.415,1101.06,1800.0,8.0,60.0,75.5,50.0,125.0,127.6,6.02,21.17,6.85,30.88,515.3,1632.4,136.66,526.84,698.42,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,False,False,ok,0.5
R290,R600a,R290/R600a,0.3,30,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.721,0.411,1101.06,1800.0,17.1,67.0,81.2,57.0,125.0,127.9,7.75,24.38,8.1,30.88,477.2,1363.5,146.41,461.54,639.95,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
